corr,filtro,psu,region,p1_1,p1_2,p1_3,p2,p3,p4,p5,p6,p7,p7a,p7t,p8,p8a,p8t,p9,p9a,p9t,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p11_7,p11_8,p11_9,p11_10,p11_11,p11_12,p11_13,p11_14,p11_15,p11_16,p11_17,p11_18,p11_19,p11_20,p11_21,p11_22,p11_23,p11_24,p11_25,p12,p13_a,p13_b,p13_c,p13_d,p13_e,p13_f,p14,p15,p16,p17_a,p17_b,p17_c,p17_d,p17_e,p17_f,p17_g,p17_h,p17_i,p17_j,p17_k,p17_l,p17_m,p17_n,p18_a,p18_b,p18_c,p18_d,p18_e,p19,p20,p21,p22,p23,p24,p25,p26,p27_a,p27_b,p28_a,p28_b,te1,te2_a,te2_b,te2_c,te2_d,te2_e,te2_1,te3_a,te3_b,te3_c,te3_d,te3_e,te3_f,te3_g,te3_h,te3_i,te3_j,te4_a,te4_b,te4_c,te4_d,te5,te6,te7_a,te7_b,te7_c,te7_d,te7_e,te7_f,te7_g,te7_h,te7_i,te7_j,te8,te9_1,te9_2,te9_3,te10_1,te10_2,te10_3,te11_1,te11_2,te11_3,te12,te13,te14,te15,te16,te17,te18,te19_1,te19_2,te19_3,te20_a,te20_b,te21,te22,te23,te24,de1,de2,de2_a,de3,de4,de5,de5_c,de6,de7,de8,de9,de10,de11,de12,de13_a,de13_b,de13_c,de13_d,de13_e,de13_f,de13_g,de13_h,de13_i,de13_j,de13_k,de13_l,de13_m,de13_n,de13_o,de13_p,de14_a,de14_b,de14_c,de14_d,de14_e,de14_f,de15,de16,de17,b5,pond
1,937,150,13,9,3,6,1,3,2,2,2,1,,1,5,5,5,1,,1,3,3,8,2,8,6,8,6,8,8,4,8,8,2,4,8,8,8,8,3,4,8,8,8,8,8,1,1,1,2,1,1,1,22,13,4,2,4,3,2,3,3,3,4,3,3,2,3,2,2,2,2,4,2,5,4,6,3,2,3,,2,2,1,1,8,,1,1,1,1,1,1,5,1,1,1,1,1,8,1,1,1,1,1,2,2,1,2,3,5,3,3,3,4,2,2,3,4,2,1,11,88,88,,,,3,5,4,1,2,7000,2,,3,2,,,,1,1,2,1,1,2,2,44,1959-05-13T00:00:00Z,6,8,4,8,3,3,1,8,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,6,4,4,1,0.78246146440506
2,938,150,13,7,6,3,2,2,1,8,3,9,9,9,5,5,5,7,7,7,2,3,8,8,8,8,8,8,8,8,8,3,8,3,4,8,8,8,8,8,8,8,8,8,8,8,9,1,1,2,2,1,1,22,13,5,2,3,3,3,3,3,2,2,3,4,3,3,3,3,2,2,4,3,3,4,8,3,3,3,3,1,2,8,,8,,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,8,2,4,2,4,3,1,3,3,3,3,4,4,2,2,,,,10,4,1,1,3,10,2,,,,,,,,,,,,2,1,2,2,2,20,1983-02-15T00:00:00Z,5,9,5,1,9,99,1,8,9,1,4,2,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,8,4,4,1,1.15786373615265
3,939,150,13,3,6,9,2,2,3,2,2,9,9,9,5,5,5,7,7,7,1,8,8,8,8,8,8,8,8,8,8,8,2,2,5,8,2,6,8,4,8,8,8,8,8,8,88,1,1,1,1,1,1,22,13,2,4,4,4,4,3,3,4,4,4,4,4,3,4,2,1,1,5,1,1,4,6,1,1,1,1,2,2,8,,8,,2,2,1,8,1,1,2,1,1,1,1,1,8,1,2,1,1,1,2,2,1,6,1,4,4,3,3,4,2,4,3,3,2,2,,,,2,3,4,1,3,4,1,3,3000,8,,2,2,,,,1,1,2,1,1,2,1,29,1974-05-13T00:00:00Z,1,8,4,8,1,7,1,8,9,1,3,1,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,6,4,1,1.20403659343719
4,1096,182,13,3,4,11,3,2,2,1,3,9,9,9,2,,2,8,8,8,3,1,4,5,2,4,3,2,2,4,3,4,2,3,5,4,2,3,3,4,4,4,3,4,2,2,5,2,1,1,1,1,1,22,25,5,1,3,2,2,3,2,3,3,3,4,3,3,3,3,5,2,5,6,5,2,4,4,4,5,5,2,2,2,,1,1,2,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,2,3,3,4,3,2,3,2,2,2,,,,5,3,2,5,3,10,2,,,,,,,,,,,,2,1,2,2,2,25,1978-03-15T00:00:00Z,1,14,13,2,9,1,1,7,9,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,6,3,3,1,1.02533006668091
5,1097,182,13,6,11,7,3,1,1,1,1,5,,5,2,,2,4,,4,3,5,4,5,4,3,3,3,4,4,4,4,4,4,3,3,3,3,2,3,3,6,3,4,3,3,5,2,3,1,2,1,1,30,17,1,3,3,2,1,2,2,1,1,2,3,2,2,2,2,6,4,6,5,6,2,6,5,5,4,5,1,2,8,,1,1,3,2,1,2,2,2,4,2,2,2,1,2,2,2,2,2,2,1,2,2,1,7,1,2,4,2,3,2,4,1,4,3,4,2,,,,6,4,2,6,1,3,3,,,,,,,,,,,,2,1,2,2,1,29,1974-04-11T00:00:00Z,3,12,7,4,1,6,9,7,9,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,6,3,3,1,1.20403659343719
6,1099,182,13,4,5,10,3,2,1,1,2,9,3,3,3,,3,5,,5,2,4,4,5,3,1,1,3,1,1,1,4,4,4,1,1,3,2,4,1,2,1,5,6,1,1,9,2,2,2,3,2,1,30,13,5,4,3,4,4,3,3,3,4,3,4,4,4,2,1,4,2,2,2,5,2,6,2,2,2,4,3,2,1,2,2,,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,3,3,4,2,4,2,2,2,3,2,5,2,2,,,,4,3,10,8,1,10,3,,,,,,,,,,,,2,1,1,2,1,22,1981-01-25T00:00:00Z,3,16,15,4,7,1,9,8,9,1,3,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,2,2,8,5,3,1,1.25462162494659
7,1100,182,13,5,10,7,2,2,1,1,3,9,9,9,5,5,5,7,7,7,1,4,4,4,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,3,3,6,4,6,3,3,9,2,2,2,2,1,1,30,13,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,2,8,5,5,5,5,1,1,1,2,8,,1,2,1,2,1,1,5,1,1,1,1,2,2,2,2,2,2,1,1,2,1,4,1,3,3,3,3,3,3,3,3,3,3,2,,,,3,7,2,4,5,3,3,,,,,,,,,,,,2,1,2,2,2,21,1982-04-16T00:00:00Z,3,12,5,4,5,5,9,7,9,1,3,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,88,6,4,1,1.15786373615265
8,1241,211,13,11,10,9,1,3,1,9,2,3,,3,3,,3,5,,5,1,4,3,4,6,2,3,3,3,1,4,4,3,2,5,3,5,3,2,3,3,3,3,3,3,4,3,2,1,1,3,1,1,13,25,5,3,3,3,3,4,9,3,4,3,3,3,3,8,3,3,2,5,3,6,3,6,5,4,4,5,1,8,2,,8,,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,4,2,3,8,4,2,4,8,4,8,2,,,,2,7,9,10,7,3,1,5,,1,3,2,1,2,,,1,1,2,1,1,8,2,38,1965-09-22T00:00:00Z,3,12,5,4,1,4,1,1,9,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,7,5,4,1,0.78246146440506
9,1242,211,13,6,5,10,2,2,2,1,1,9,9,9,5,5,5,3,,3,3,4,4,5,6,2,4,1,3,2,2,3,5,4,4,4,5,3,4,5,2,6,1,4,6,5,3,2,1,2,3,1,2,22,13,5,4,1,1,4,1,1,4,4,1,3,3,2,2,1,1,1,4,5,6,4,2,6,5,4,5,1,1,1,2,1,1,1,2,1,2,1,2,3,1,1,1,1,2,2,1,1,1,1,1,2,2,1,6,1,2,4,2,5,2,2,4,2,4,5,1,10,3,11,,,,1,2,4,3,,,,,,,,,,,,2,1,1,2,1,19,1983-11-11T00:00:00Z,3,10,5,2,5,1,2,3,9,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,4,5,1,1.25462162494659
10,1244,211,13,3,5,6,3,2,2,2,2,9,9,9,5,5,5,7,7,7,2,4,3,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,11,1,1,1,1,1,1,48,25,5,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,3,4,2,6,4,3,2,6,3,2,8,,8,,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,6,2,2,2,2,2,2,4,2,4,4,4,2,,,,1,9,3,1,3,6,2,,,,,,,,,,,,1,1,2,2,2,52,1950-07-03T00:00:00Z,1,6,4,6,1,5,2,2,9,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,8,6,3,1,1.0433714389801
11,1245,211,13,3,6,9,3,1,1,1,1,3,,3,3,,3,5,,5,2,3,3,4,3,3,3,4,3,3,4,3,4,4,4,4,4,6,6,3,3,6,6,6,6,3,7,2,1,1,1,1,1,36,20,4,1,1,3,3,3,3,3,1,1,3,3,3,3,1,5,3,6,3,5,3,6,7,7,6,6,2,2,8,,8,,3,1,1,2,1,9,5,2,1,1,1,1,2,2,2,2,1,1,2,2,1,5,1,2,3,3,3,3,3,3,2,2,3,2,,,,10,2,1,3,5,11,1,5,,1,4,2,2,,,,1,1,2,1,2,2,2,30,1972-09-05T00:00:00Z,2,10,12,2,9,5,1,6,9,1,3,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,5,3,4,1,1.02533006668091
12,1257,214,13,2,3,6,4,1,1,1,1,9,9,9,5,2,2,7,5,5,3,4,3,3,3,3,2,3,3,3,3,3,3,4,4,2,4,4,4,3,3,6,4,6,2,2,2,2,2,1,2,1,1,48,13,4,4,4,2,3,3,8,3,1,2,4,3,1,2,8,5,5,5,5,5,4,2,4,3,3,3,2,2,1,9,2,,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,1,1,2,3,4,2,4,3,3,2,3,2,,,,3,4,2,9,1,4,1,2,36000,2,,2,1,1,2,,1,1,2,1,2,2,1,43,1960-01-05T00:00:00Z,1,18,15,5,1,11,9,8,9,1,3,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,2,11,3,3,1,1.03771758079529
